feature_idx,feature_theme,layer,n_seq,n_tokens,subsample_seed,n_train_pos,n_test,n_test_pos,auc_roc,auc_pr,p_at_k,C,n_iter,converged,fit_seconds,degenerate
892,sycophancy-adj,5,128,32640,14,167,20400,68,0.9516728194327113,0.3233095626196078,0.35294117647058826,0.001,22,1,2.586,0
1031,harm,5,128,32640,14,195,20400,97,0.967595058573945,0.41450618569054315,0.4020618556701031,0.001,21,1,2.321,0
9989,refusal,5,256,65280,10,663,20400,190,0.8906773613896195,0.16320464821357353,0.24736842105263157,0.001,30,1,6.829,0
817,deception,5,256,65280,10,605,20400,267,0.8807387799969157,0.17990087929348314,0.250936329588015,0.001,28,1,6.183,0
12730,ethics,5,256,65280,10,332,20400,75,0.864579253792538,0.09727752751451843,0.13333333333333333,0.001,24,1,4.762,0
892,sycophancy-adj,5,256,65280,10,236,20400,68,0.9413594623369711,0.3079372774188981,0.3088235294117647,0.001,22,1,4.67,0
1031,harm,5,256,65280,10,439,20400,97,0.9738335353416361,0.48373687542119376,0.4639175257731959,0.001,25,1,5.334,0
9989,refusal,5,256,65280,11,667,20400,190,0.8870033073777963,0.14495274992242946,0.24210526315789474,0.001,30,1,6.963,0
817,deception,5,256,65280,11,611,20400,267,0.8773299877909283,0.1693963121758278,0.24344569288389514,0.001,31,1,6.552,0
12730,ethics,5,256,65280,11,422,20400,75,0.8847671996719967,0.08061281595237425,0.14666666666666667,0.001,26,1,4.797,0
892,sycophancy-adj,5,256,65280,11,300,20400,68,0.9359688002684844,0.2948126176998422,0.3235294117647059,0.001,24,1,4.624,0
1031,harm,5,256,65280,11,492,20400,97,0.9765841318458345,0.48438825779525974,0.4845360824742268,0.001,25,1,5.022,0
9989,refusal,5,256,65280,12,668,20400,190,0.8853261803692803,0.1478674496736464,0.24736842105263157,0.001,29,1,5.949,0
817,deception,5,256,65280,12,581,20400,267,0.8756691224331976,0.1709095868572585,0.22846441947565543,0.001,31,1,6.657,0
12730,ethics,5,256,65280,12,403,20400,75,0.8573389093890937,0.06819613854538824,0.12,0.001,28,1,5.391,0
892,sycophancy-adj,5,256,65280,12,286,20400,68,0.9411048651213386,0.29435581217274304,0.3382352941176471,0.001,27,1,5.233,0
1031,harm,5,256,65280,12,439,20400,97,0.9725488742458964,0.49345561271736055,0.5051546391752577,0.001,24,1,4.473,0
9989,refusal,5,256,65280,13,653,20400,190,0.8869915883226126,0.1674324300672543,0.21578947368421053,0.001,35,1,6.26,0
817,deception,5,256,65280,13,629,20400,267,0.8893649366543943,0.19539316878992097,0.25842696629213485,0.001,29,1,5.996,0
12730,ethics,5,256,65280,13,442,20400,75,0.8842069700697007,0.061165568364941636,0.10666666666666667,0.001,30,1,9.039,0
892,sycophancy-adj,5,256,65280,13,300,20400,68,0.9344882306650775,0.33143656303318436,0.35294117647058826,0.001,26,1,5.104,0
1031,harm,5,256,65280,13,475,20400,97,0.9795266658576179,0.4888644021031832,0.4948453608247423,0.001,22,1,4.688,0
9989,refusal,5,256,65280,14,643,20400,190,0.8842001093778482,0.1454014693057379,0.22631578947368422,0.001,29,1,7.158,0
817,deception,5,256,65280,14,575,20400,267,0.8838819230395025,0.19172706716755125,0.24719101123595505,0.001,32,1,6.044,0
12730,ethics,5,256,65280,14,397,20400,75,0.8655652316523165,0.08466538492988802,0.16,0.001,25,1,4.654,0
892,sycophancy-adj,5,256,65280,14,267,20400,68,0.9354379072108874,0.3498910760047121,0.38235294117647056,0.001,25,1,4.617,0
1031,harm,5,256,65280,14,436,20400,97,0.9811063420113122,0.46574597387852723,0.44329896907216493,0.001,24,1,4.337,0
9989,refusal,5,320,81600,10,845,20400,190,0.8913195656136877,0.16207089527586208,0.21052631578947367,0.001,30,1,8.327,0
817,deception,5,320,81600,10,755,20400,267,0.89306700330443,0.1964246887550474,0.250936329588015,0.001,34,1,7.288,0
12730,ethics,5,320,81600,10,506,20400,75,0.8733763017630177,0.07768419135689944,0.12,0.001,27,1,5.963,0
892,sycophancy-adj,5,320,81600,10,358,20400,68,0.936437490597262,0.33862246998642753,0.3382352941176471,0.001,25,1,5.822,0
1031,harm,5,320,81600,10,559,20400,97,0.9778276634756634,0.4982540192152806,0.4948453608247423,0.001,26,1,6.068,0
9989,refusal,8,2,510,10,0,,,,,,0.001,,,0.0,1
817,deception,8,2,510,10,0,,,,,,0.001,,,0.0,1
12730,ethics,8,2,510,10,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,8,2,510,10,0,,,,,,0.001,,,0.0,1
1031,harm,8,2,510,10,1,20400,97,0.6285707104378968,0.0064771173991791334,0.010309278350515464,0.001,21,1,0.048,0
9989,refusal,8,2,510,11,1,20400,190,0.47181371910726844,0.00814500594203324,0.005263157894736842,0.001,21,1,0.053,0
817,deception,8,2,510,11,1,20400,267,0.5856624607409417,0.02495043458718995,0.06367041198501873,0.001,19,1,0.065,0
12730,ethics,8,2,510,11,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,8,2,510,11,6,20400,68,0.8554488143870572,0.05210646819485588,0.14705882352941177,0.001,21,1,0.049,0
1031,harm,8,2,510,11,0,,,,,,0.001,,,0.0,1
9989,refusal,8,2,510,12,0,,,,,,0.001,,,0.0,1
817,deception,8,2,510,12,23,20400,267,0.7184032364551016,0.07134811626215962,0.11235955056179775,0.001,18,1,0.043,0
12730,ethics,8,2,510,12,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,8,2,510,12,1,20400,68,0.6719655917649373,0.00876292909195319,0.029411764705882353,0.001,17,1,0.04,0
1031,harm,8,2,510,12,3,20400,97,0.8228046132027615,0.06984071640515155,0.12371134020618557,0.001,19,1,0.047,0
9989,refusal,8,2,510,13,0,,,,,,0.001,,,0.0,1
817,deception,8,2,510,13,0,,,,,,0.001,,,0.0,1
12730,ethics,8,2,510,13,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,8,2,510,13,0,,,,,,0.001,,,0.0,1
1031,harm,8,2,510,13,0,,,,,,0.001,,,0.0,1
9989,refusal,8,2,510,14,0,,,,,,0.001,,,0.0,1
817,deception,8,2,510,14,1,20400,267,0.49524668445474296,0.011993459940701431,0.003745318352059925,0.001,18,1,0.054,0
12730,ethics,8,2,510,14,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,8,2,510,14,0,,,,,,0.001,,,0.0,1
1031,harm,8,2,510,14,0,,,,,,0.001,,,0.0,1
9989,refusal,8,4,1020,10,8,20400,190,0.7742869605979323,0.05809301765346541,0.08421052631578947,0.001,21,1,0.102,0
817,deception,8,4,1020,10,7,20400,267,0.7926987778464224,0.05449204261153797,0.08239700374531835,0.001,19,1,0.083,0
12730,ethics,8,4,1020,10,1,20400,75,0.7183357113571136,0.00968018277007597,0.013333333333333334,0.001,20,1,0.103,0
892,sycophancy-adj,8,4,1020,10,0,,,,,,0.001,,,0.0,1
1031,harm,8,4,1020,10,4,20400,97,0.8550587465871429,0.0551359506881917,0.1134020618556701,0.001,21,1,0.089,0
